Date,Team,Opp,GS,GStot,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,GSv2
7/15/17,WSN,@CIN,1,284,1,0,0,0,6,25,3,0,0,0,4,10,15,6,0,0.273,100.00%,9.10%,0.00%,85.6,0,1.82,3.9,72
7/7/17,WSN,ATL,1,283,0,0,0,0,7.2,29,6,4,4,1,1,10,11.74,1.17,1.17,0.294,53.60%,50.00%,20.00%,89,4.7,2.64,2.1,64
7/2/17,WSN,@STL,1,282,1,0,0,0,7,26,2,0,0,0,2,12,15.43,2.57,0,0.167,100.00%,58.30%,0.00%,82.7,0,0.59,1.86,86
6/27/17,WSN,CHC,1,281,1,0,0,0,6,21,2,1,1,0,0,6,9,0,0,0.143,66.70%,7.10%,0.00%,81.2,1.5,1.66,5.22,75
6/21/17,WSN,@MIA,1,280,0,1,0,0,8,29,2,2,0,0,1,11,12.38,1.13,0,0.133,60.00%,73.30%,0.00%,80.1,0,1.53,2.2,87
6/16/17,WSN,@NYM,1,279,1,0,0,0,8,29,4,1,1,1,2,10,11.25,2.25,1.13,0.214,100.00%,26.70%,11.10%,88.8,1.13,3.78,4.16,77
6/11/17,WSN,TEX,1,278,0,1,0,0,7.1,27,3,3,2,1,1,10,12.27,1.23,1.23,0.133,38.50%,56.30%,25.00%,83.5,2.45,2.61,1.81,71
6/6/17,WSN,@LAD,1,277,1,0,0,0,7,28,3,1,0,0,2,14,18,2.57,0,0.25,80.00%,50.00%,0.00%,85.2,0,0.01,1.03,83
5/31/17,WSN,@SFG,1,276,1,0,0,0,9,31,5,1,1,0,0,11,11,0,0,0.25,80.00%,31.60%,0.00%,86.7,1,0.71,2.69,92
5/26/17,WSN,SDP,1,275,1,0,0,0,8.2,31,3,1,1,1,2,13,13.5,2.08,1.04,0.143,100.00%,50.00%,16.70%,79,1.04,2.7,2.43,86
5/20/17,WSN,@ATL,1,274,0,1,0,0,5,21,4,3,3,2,3,6,10.8,5.4,3.6,0.2,95.20%,33.30%,28.60%,89.7,5.4,7.76,5.05,41
5/14/17,WSN,PHI,1,273,0,0,0,0,6,27,9,3,3,0,0,8,12,0,0,0.5,70.00%,44.40%,0.00%,84.2,4.5,0.99,2.47,57
5/9/17,WSN,@BAL,1,272,0,0,0,0,8,30,4,2,2,2,2,11,12.38,2.25,2.25,0.133,100.00%,23.50%,25.00%,92.9,2.25,4.41,2.94,69
5/4/17,WSN,ARI,1,271,1,0,0,0,7,26,2,1,1,1,2,11,14.14,2.57,1.29,0.091,100.00%,41.70%,14.30%,86.6,1.29,3.16,3.08,76
4/28/17,WSN,NYM,1,270,0,1,0,0,6,27,9,5,5,2,1,7,10.5,1.5,3,0.412,69.40%,22.20%,16.70%,87.5,7.5,5.66,4.88,36
4/23/17,WSN,@NYM,1,269,1,0,0,0,8,29,5,3,3,2,1,9,10.13,1.13,2.25,0.176,93.80%,31.60%,20.00%,87.7,3.38,4.53,3.51,64
4/18/17,WSN,@ATL,1,268,1,0,0,0,7,25,2,0,0,0,3,7,9,3.86,0,0.133,100.00%,50.00%,0.00%,86.6,0,2.44,3.71,79
4/12/17,WSN,STL,1,267,0,1,0,0,6,26,4,3,1,0,2,10,15,3,0,0.308,57.10%,30.80%,0.00%,89.2,1.5,1.32,3.4,65
